slug,market_id,question,winner,start_unix,end_unix,start_iso,end_iso,closed,active,archived,endDate,closedTime,outcomes,outcomePrices,volume,liquidity,url
btc-updown-5m-1774517400,1714671,"Bitcoin Up or Down - March 26, 5:30AM-5:35AM ET",Down,1774517400,1774517700,2026-03-26T09:30:00.000Z,2026-03-26T09:35:00.000Z,true,true,false,2026-03-26T09:35:00Z,2026-03-26 09:35:21+00,Up|Down,0|1,,,https://polymarket.com/event/btc-updown-5m-1774517400
btc-updown-5m-1774517700,1714698,"Bitcoin Up or Down - March 26, 5:35AM-5:40AM ET",Down,1774517700,1774518000,2026-03-26T09:35:00.000Z,2026-03-26T09:40:00.000Z,true,true,false,2026-03-26T09:40:00Z,2026-03-26 09:40:23+00,Up|Down,0|1,,,https://polymarket.com/event/btc-updown-5m-1774517700
btc-updown-5m-1774518000,1714701,"Bitcoin Up or Down - March 26, 5:40AM-5:45AM ET",Up,1774518000,1774518300,2026-03-26T09:40:00.000Z,2026-03-26T09:45:00.000Z,true,true,false,2026-03-26T09:45:00Z,2026-03-26 09:45:23+00,Up|Down,1|0,,,https://polymarket.com/event/btc-updown-5m-1774518000
btc-updown-5m-1774518300,1714719,"Bitcoin Up or Down - March 26, 5:45AM-5:50AM ET",Down,1774518300,1774518600,2026-03-26T09:45:00.000Z,2026-03-26T09:50:00.000Z,true,true,false,2026-03-26T09:50:00Z,2026-03-26 09:50:55+00,Up|Down,0|1,,,https://polymarket.com/event/btc-updown-5m-1774518300
btc-updown-5m-1774518600,1714724,"Bitcoin Up or Down - March 26, 5:50AM-5:55AM ET",Up,1774518600,1774518900,2026-03-26T09:50:00.000Z,2026-03-26T09:55:00.000Z,true,true,false,2026-03-26T09:55:00Z,2026-03-26 09:55:21+00,Up|Down,1|0,,,https://polymarket.com/event/btc-updown-5m-1774518600
btc-updown-5m-1774518900,1715092,"Bitcoin Up or Down - March 26, 5:55AM-6:00AM ET",Down,1774518900,1774519200,2026-03-26T09:55:00.000Z,2026-03-26T10:00:00.000Z,true,true,false,2026-03-26T10:00:00Z,2026-03-26 10:00:41+00,Up|Down,0|1,,,https://polymarket.com/event/btc-updown-5m-1774518900
btc-updown-5m-1774519200,1715270,"Bitcoin Up or Down - March 26, 6:00AM-6:05AM ET",Down,1774519200,1774519500,2026-03-26T10:00:00.000Z,2026-03-26T10:05:00.000Z,true,true,false,2026-03-26T10:05:00Z,2026-03-26 10:05:21+00,Up|Down,0|1,,,https://polymarket.com/event/btc-updown-5m-1774519200
btc-updown-5m-1774519500,1715282,"Bitcoin Up or Down - March 26, 6:05AM-6:10AM ET",Up,1774519500,1774519800,2026-03-26T10:05:00.000Z,2026-03-26T10:10:00.000Z,true,true,false,2026-03-26T10:10:00Z,2026-03-26 10:10:35+00,Up|Down,1|0,,,https://polymarket.com/event/btc-updown-5m-1774519500
btc-updown-5m-1774519800,1715288,"Bitcoin Up or Down - March 26, 6:10AM-6:15AM ET",Up,1774519800,1774520100,2026-03-26T10:10:00.000Z,2026-03-26T10:15:00.000Z,true,true,false,2026-03-26T10:15:00Z,2026-03-26 10:15:53+00,Up|Down,1|0,,,https://polymarket.com/event/btc-updown-5m-1774519800
btc-updown-5m-1774520100,1715324,"Bitcoin Up or Down - March 26, 6:15AM-6:20AM ET",Up,1774520100,1774520400,2026-03-26T10:15:00.000Z,2026-03-26T10:20:00.000Z,true,true,false,2026-03-26T10:20:00Z,2026-03-26 10:20:43+00,Up|Down,1|0,,,https://polymarket.com/event/btc-updown-5m-1774520100
btc-updown-5m-1774520400,1715331,"Bitcoin Up or Down - March 26, 6:20AM-6:25AM ET",Up,1774520400,1774520700,2026-03-26T10:20:00.000Z,2026-03-26T10:25:00.000Z,true,true,false,2026-03-26T10:25:00Z,2026-03-26 10:25:43+00,Up|Down,1|0,,,https://polymarket.com/event/btc-updown-5m-1774520400
btc-updown-5m-1774520700,1715339,"Bitcoin Up or Down - March 26, 6:25AM-6:30AM ET",Down,1774520700,1774521000,2026-03-26T10:25:00.000Z,2026-03-26T10:30:00.000Z,true,true,false,2026-03-26T10:30:00Z,2026-03-26 10:30:29+00,Up|Down,0|1,,,https://polymarket.com/event/btc-updown-5m-1774520700
btc-updown-5m-1774521000,1715355,"Bitcoin Up or Down - March 26, 6:30AM-6:35AM ET",Down,1774521000,1774521300,2026-03-26T10:30:00.000Z,2026-03-26T10:35:00.000Z,true,true,false,2026-03-26T10:35:00Z,2026-03-26 10:35:25+00,Up|Down,0|1,,,https://polymarket.com/event/btc-updown-5m-1774521000
btc-updown-5m-1774521300,1715377,"Bitcoin Up or Down - March 26, 6:35AM-6:40AM ET",Down,1774521300,1774521600,2026-03-26T10:35:00.000Z,2026-03-26T10:40:00.000Z,true,true,false,2026-03-26T10:40:00Z,2026-03-26 10:40:47+00,Up|Down,0|1,,,https://polymarket.com/event/btc-updown-5m-1774521300
btc-updown-5m-1774521600,1715388,"Bitcoin Up or Down - March 26, 6:40AM-6:45AM ET",Up,1774521600,1774521900,2026-03-26T10:40:00.000Z,2026-03-26T10:45:00.000Z,true,true,false,2026-03-26T10:45:00Z,2026-03-26 10:45:27+00,Up|Down,1|0,,,https://polymarket.com/event/btc-updown-5m-1774521600
btc-updown-5m-1774521900,1715404,"Bitcoin Up or Down - March 26, 6:45AM-6:50AM ET",Up,1774521900,1774522200,2026-03-26T10:45:00.000Z,2026-03-26T10:50:00.000Z,true,true,false,2026-03-26T10:50:00Z,2026-03-26 10:50:27+00,Up|Down,1|0,,,https://polymarket.com/event/btc-updown-5m-1774521900
btc-updown-5m-1774522200,1715413,"Bitcoin Up or Down - March 26, 6:50AM-6:55AM ET",Down,1774522200,1774522500,2026-03-26T10:50:00.000Z,2026-03-26T10:55:00.000Z,true,true,false,2026-03-26T10:55:00Z,2026-03-26 10:55:25+00,Up|Down,0|1,,,https://polymarket.com/event/btc-updown-5m-1774522200
btc-updown-5m-1774522500,1715499,"Bitcoin Up or Down - March 26, 6:55AM-7:00AM ET",Up,1774522500,1774522800,2026-03-26T10:55:00.000Z,2026-03-26T11:00:00.000Z,true,true,false,2026-03-26T11:00:00Z,2026-03-26 11:00:35+00,Up|Down,1|0,,,https://polymarket.com/event/btc-updown-5m-1774522500
btc-updown-5m-1774522800,1715626,"Bitcoin Up or Down - March 26, 7:00AM-7:05AM ET",Up,1774522800,1774523100,2026-03-26T11:00:00.000Z,2026-03-26T11:05:00.000Z,true,true,false,2026-03-26T11:05:00Z,2026-03-26 11:05:23+00,Up|Down,1|0,,,https://polymarket.com/event/btc-updown-5m-1774522800
btc-updown-5m-1774523100,1715641,"Bitcoin Up or Down - March 26, 7:05AM-7:10AM ET",Down,1774523100,1774523400,2026-03-26T11:05:00.000Z,2026-03-26T11:10:00.000Z,true,true,false,2026-03-26T11:10:00Z,2026-03-26 11:10:23+00,Up|Down,0|1,,,https://polymarket.com/event/btc-updown-5m-1774523100
btc-updown-5m-1774523400,1715646,"Bitcoin Up or Down - March 26, 7:10AM-7:15AM ET",Down,1774523400,1774523700,2026-03-26T11:10:00.000Z,2026-03-26T11:15:00.000Z,true,true,false,2026-03-26T11:15:00Z,2026-03-26 11:15:53+00,Up|Down,0|1,,,https://polymarket.com/event/btc-updown-5m-1774523400
btc-updown-5m-1774523700,1715685,"Bitcoin Up or Down - March 26, 7:15AM-7:20AM ET",Down,1774523700,1774524000,2026-03-26T11:15:00.000Z,2026-03-26T11:20:00.000Z,true,true,false,2026-03-26T11:20:00Z,2026-03-26 11:20:23+00,Up|Down,0|1,,,https://polymarket.com/event/btc-updown-5m-1774523700
btc-updown-5m-1774524000,1715687,"Bitcoin Up or Down - March 26, 7:20AM-7:25AM ET",Down,1774524000,1774524300,2026-03-26T11:20:00.000Z,2026-03-26T11:25:00.000Z,true,true,false,2026-03-26T11:25:00Z,2026-03-26 11:25:59+00,Up|Down,0|1,,,https://polymarket.com/event/btc-updown-5m-1774524000
btc-updown-5m-1774524300,1715699,"Bitcoin Up or Down - March 26, 7:25AM-7:30AM ET",Down,1774524300,1774524600,2026-03-26T11:25:00.000Z,2026-03-26T11:30:00.000Z,true,true,false,2026-03-26T11:30:00Z,2026-03-26 11:30:43+00,Up|Down,0|1,,,https://polymarket.com/event/btc-updown-5m-1774524300
btc-updown-5m-1774524600,1715706,"Bitcoin Up or Down - March 26, 7:30AM-7:35AM ET",Up,1774524600,1774524900,2026-03-26T11:30:00.000Z,2026-03-26T11:35:00.000Z,true,true,false,2026-03-26T11:35:00Z,2026-03-26 11:35:23+00,Up|Down,1|0,,,https://polymarket.com/event/btc-updown-5m-1774524600
btc-updown-5m-1774524900,1715741,"Bitcoin Up or Down - March 26, 7:35AM-7:40AM ET",Up,1774524900,1774525200,2026-03-26T11:35:00.000Z,2026-03-26T11:40:00.000Z,true,true,false,2026-03-26T11:40:00Z,2026-03-26 11:40:57+00,Up|Down,1|0,,,https://polymarket.com/event/btc-updown-5m-1774524900
btc-updown-5m-1774525200,1715748,"Bitcoin Up or Down - March 26, 7:40AM-7:45AM ET",Down,1774525200,1774525500,2026-03-26T11:40:00.000Z,2026-03-26T11:45:00.000Z,true,true,false,2026-03-26T11:45:00Z,2026-03-26 11:45:23+00,Up|Down,0|1,,,https://polymarket.com/event/btc-updown-5m-1774525200
btc-updown-5m-1774525500,1715755,"Bitcoin Up or Down - March 26, 7:45AM-7:50AM ET",Down,1774525500,1774525800,2026-03-26T11:45:00.000Z,2026-03-26T11:50:00.000Z,true,true,false,2026-03-26T11:50:00Z,2026-03-26 11:50:55+00,Up|Down,0|1,,,https://polymarket.com/event/btc-updown-5m-1774525500
btc-updown-5m-1774525800,1715766,"Bitcoin Up or Down - March 26, 7:50AM-7:55AM ET",Up,1774525800,1774526100,2026-03-26T11:50:00.000Z,2026-03-26T11:55:00.000Z,true,true,false,2026-03-26T11:55:00Z,2026-03-26 11:55:23+00,Up|Down,1|0,,,https://polymarket.com/event/btc-updown-5m-1774525800
btc-updown-5m-1774526100,1715881,"Bitcoin Up or Down - March 26, 7:55AM-8:00AM ET",Down,1774526100,1774526400,2026-03-26T11:55:00.000Z,2026-03-26T12:00:00.000Z,true,true,false,2026-03-26T12:00:00Z,2026-03-26 12:00:57+00,Up|Down,0|1,,,https://polymarket.com/event/btc-updown-5m-1774526100
